catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Cameroon,Member of the Senate of Cameroon,Tabe Tando Ndiep Nso,Q111355906,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Thomas Tobbo Eyoum,Q111355907,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Yvonne Asta,Q111355912,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Alioum Alhadji Hamadou,Q111364926,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Amrakaye Martin,Q111364930,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Sale Charles,Q111365027,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Ndanga Ndinga Badel,Q111366145,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Afane Gisele Solange,Q111416706,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Ajuoh Ngam Honoré,Q111416707,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Amougou Bernard,Q111416708,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Assouho Epse Tokpanou Djole,Q111416759,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Baroua Nyakeu,Q111416760,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Bile Jean David,Q111416770,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Bladi Abba,Q111416771,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Boubakari Ousmanou,Q111416773,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Buh Sule Tegha,Q111416774,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Chafah Isaac,Q111416775,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Diwala Mony Hilarion,Q111416776,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Djallo Epouse Kalkaba Souadatou,Q111416778,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Djaratou Mohamadou,Q111416779,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Djomo Kamga Honoré,Q111416780,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Doh Ganyonga Iii,Q111416782,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Doudou Epouse Adamou Djoubaïrou,Q111416783,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Dsamou Micheline,Q111416784,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Fomethe Anaclet,Q111416787,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Foutchou Epse Djakaou,Q111416788,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Gamsey Kemende Henry,Q111416789,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Hama Djabou,Q111416791,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Hamadou Paul,Q111416792,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Kemayou Claude,Q111416793,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Kinyang Nyang Georges,Q111416794,2018-03-25,,,,,,
