catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Afghanistan,Minister of Foreign Affairs,Rangin Dadfar Spanta,Q77348,2006-05-02,2010-01-18,male,1954-12-15,,Munich Security Conference 2010 - dett spanta 0024.jpg,Rangin Dadfar Spanta
Afghanistan,Minister of Foreign Affairs,Zalmai Rassoul,Q145180,2010-01-18,2013-10-28,male,1943-05-11,,Zalmai Rassoul in June 2011.jpg,Zalmai Rassoul
Afghanistan,Minister of Foreign Affairs,Zarar Ahmad Moqbil Osmani,Q4695423,2013-10-28,2014-12-12,male,1964,,Osmani speaking in October 2011-cropped.jpg,Zarar Ahmad Osmani
Afghanistan,Minister of Foreign Affairs,Atiqullah Atifmal,Q19271885,2014-12-12,2015-02-01,male,1957-01-27,,Atifmal.jpg,Atiqullah Atifmal
Afghanistan,Minister of Foreign Affairs,Salahuddin Rabbani,Q7403481,2015-02-01,2019-10-23,male,1971-05-10,,"Salahuddin Rabbani at US State Dept November 29, 2012.jpg",Salahuddin Rabbani
Afghanistan,Minister of Foreign Affairs,Mohammad Hanif Atmar,Q3918461,2020-04-04,2021-08-15,male,1968-09-10,,Atmar in November 2009-cropped.jpg,Haneef Atmar
Afghanistan,Minister of Foreign Affairs,Amir Khan Muttaqi,Q60499905,2021-09-07,,male,1970,,Amir Khan Muttaqi in November 2021.png,Amir Khan Muttaqi
Afghanistan,"Minister of Frontiers, Nations and Tribal Affairs",Abdul Karim Brahui,Q4665467,2005-01,2009-02,male,1955,,Abdul Karim Brahui of Afghanistan in July 2011.jpg,Abdul Karim Brahui
Afghanistan,"Minister of Frontiers, Nations and Tribal Affairs",Asadullah Khalid,Q500500,2008,2012-09-15,male,1970-06,,Asadullah Khalid in June 2011-cropped.jpg,Asadullah Khalid
Afghanistan,"Minister of Frontiers, Nations and Tribal Affairs",Gul Agha Sherzai,Q903527,2017-07-25,2021-08-31,male,1955,,Gul Agha.jpg,Gul Agha Sherzai
Afghanistan,Minister of Higher Education,Din Mohammad Hanif,Q108130732,1996,2001,male,1955,,,Din Mohammad Hanif
Afghanistan,Minister of Higher Education,Sarwar Danish,Q7424823,2010-01-01,2014-09-29,male,1961,,Sarwar Danish in 2011-cropped.jpg,Sarwar Danish
Afghanistan,Minister of Higher Education,Abdul Baqi Haqqani,Q108321646,2021-08-29,,male,1961,,,Abdul Baqi Haqqani
Afghanistan,Minister of Housing and Urban Development,Yousef Pashtun,Q10947979,2002-04,2003-08,male,1946-11-15,,,Yousef Pashtun
Afghanistan,Minister of Housing and Urban Development,Yousef Pashtun,Q10947979,2005-01,2009-12,male,1946-11-15,,,Yousef Pashtun
Afghanistan,Minister of Housing and Urban Development,Rokhan Wolasmal,Q47544884,2018-06-18,,male,,,,
Afghanistan,Minister of the Interior,Bismillah Khan Mohammadi,Q866594,2010-01-06,2012-09-15,male,1961,,Bismillah Khan Mohammadi of Afghanistan in May 2011-cropped.jpg,Bismillah Khan Mohammadi
